btw	sendungsnummer	btw_sendungsnummer	datum	sender	marktanteil	zuschauer
2002	1	2002_1	25.08.2002	RTL, Sat.1		14.98
2002	2	2002_2	08.09.2002	ARD, ZDF		15.26
2005	1	2005_1	04.09.2005	Das Erste, ZDF, RTL, Sat.1, Phoenix		20.98
2009	1	2009_1	13.09.2009	Das Erste, ZDF, RTL, Sat.1, Phoenix		14.26
2013	1	2013_1	01.09.2013	ARD, ZDF, RTL, ProSieben, Phoenix	50.7	17.64
2017	1	2017_1	03.09.2017	Das Erste, ZDF, RTL, Sat.1, Phoenix	26.5	16.11
2021	1	2021_1	29.08.2021	RTL, ntv	18.2	5.60
2021	2	2021_2	12.09.2021	ARD, ZDF, Phoenix	36.1	11.00
2021	3	2021_3	19.09.2021	Sat.1, ProSieben, kabel eins	12.9	4.07
2025	1	2025_1	09.02.2025	ARD, ZDF, Phoenix	41.2	12.26
