Datum	Institut	CDU/CSU	SPD	GRÜNE	FDP	Linke.PDS	Sonstige
09.09.2005	Forschungsgruppe Wahlen	41	34	7	7	8	3
02.09.2005	Forschungsgruppe Wahlen	43	32	7	7	8	3
26.08.2005	Forschungsgruppe Wahlen	43	30	8	8	8	3
19.08.2005	Forschungsgruppe Wahlen	43	29	9	8	8	3
12.08.2005	Forschungsgruppe Wahlen	42	29	9	8	9	3
05.08.2005	Forschungsgruppe Wahlen	42	28	9	8	9	4
22.07.2005	Forschungsgruppe Wahlen	43	26	10	7	10	4
08.07.2005	Forschungsgruppe Wahlen	44	27	9	7	8	5
24.06.2005	Forschungsgruppe Wahlen	44	27	9	7	8	5
10.06.2005	Forschungsgruppe Wahlen	44	29	8	7	5	7
27.05.2005	Forschungsgruppe Wahlen	45	30	8	6	5	6
29.04.2005	Forschungsgruppe Wahlen	44	30	9	6	5	6
15.04.2005	Forschungsgruppe Wahlen	43	31	9	6	5	6
18.03.2005	Forschungsgruppe Wahlen	42	31	10	6	5	6
25.02.2005	Forschungsgruppe Wahlen	41	32	9	7	5	6
28.01.2005	Forschungsgruppe Wahlen	40	32	10	7	5	6
14.01.2005	Forschungsgruppe Wahlen	39	32	10	7	6	6
10.12.2004	Forschungsgruppe Wahlen	41	30	10	7	6	6
26.11.2004	Forschungsgruppe Wahlen	41	30	10	7	6	6
12.11.2004	Forschungsgruppe Wahlen	41	29	11	7	6	6
29.10.2004	Forschungsgruppe Wahlen	40	30	11	7	6	6
15.10.2004	Forschungsgruppe Wahlen	42	28	11	6	6	7
24.09.2004	Forschungsgruppe Wahlen	44	27	10	6	6	7
27.08.2004	Forschungsgruppe Wahlen	45	26	10	6	6	7
23.07.2004	Forschungsgruppe Wahlen	45	26	11	7	5	6
09.07.2004	Forschungsgruppe Wahlen	46	25	12	7	5	5
25.06.2004	Forschungsgruppe Wahlen	46	27	11	7	5	4
28.05.2004	Forschungsgruppe Wahlen	48	29	9	6	4	4
14.05.2004	Forschungsgruppe Wahlen	48	28	10	6	4	4
23.04.2004	Forschungsgruppe Wahlen	48	29	10	5	4	4
02.04.2004	Forschungsgruppe Wahlen	48	29	10	5	4	4
19.03.2004	Forschungsgruppe Wahlen	48	29	10	5	4	4
05.03.2004	Forschungsgruppe Wahlen	49	28	10	5	4	4
13.02.2004	Forschungsgruppe Wahlen	48	29	10	5	4	4
16.01.2004	Forschungsgruppe Wahlen	48	28	10	5	4	5
12.12.2003	Forschungsgruppe Wahlen	48	28	10	5	4	5
28.11.2003	Forschungsgruppe Wahlen	48	29	10	5	4	4
14.11.2003	Forschungsgruppe Wahlen	48	29	10	5	4	4
24.10.2003	Forschungsgruppe Wahlen	48	29	9	6	4	4
10.10.2003	Forschungsgruppe Wahlen	47	30	10	6	3	4
12.09.2003	Forschungsgruppe Wahlen	45	30	10	7	4	4
22.08.2003	Forschungsgruppe Wahlen	45	31	10	6	4	4
18.07.2003	Forschungsgruppe Wahlen	46	32	8	6	4	4
27.06.2003	Forschungsgruppe Wahlen	47	30	9	6	4	4
06.06.2003	Forschungsgruppe Wahlen	46	31	9	6	4	4
16.05.2003	Forschungsgruppe Wahlen	46	31	9	6	4	4
02.05.2003	Forschungsgruppe Wahlen	46	32	9	6	4	3
11.04.2003	Forschungsgruppe Wahlen	45	33	9	6	4	3
28.03.2003	Forschungsgruppe Wahlen	47	32	9	5	4	3
14.03.2003	Forschungsgruppe Wahlen	48	31	9	5	4	3
21.02.2003	Forschungsgruppe Wahlen	48	30	9	6	4	3
07.02.2003	Forschungsgruppe Wahlen	48	30	9	6	4	3
24.01.2003	Forschungsgruppe Wahlen	47	31	9	5	4	4
13.12.2002	Forschungsgruppe Wahlen	46	32	9	5	4	4
15.11.2002	Forschungsgruppe Wahlen	44	34	9	5	4	4
18.10.2002	Forschungsgruppe Wahlen	40	38	8	6	4	4
22.09.2002	Forschungsgruppe Wahlen	38.5	38.5	8.6	7.4	4	3
16.09.2005	Allensbach	41.5	32.5	7	8	8.5	2.5
13.09.2005	Allensbach	41.7	32.9	7.2	7	8.5	2.7
09.09.2005	Allensbach	41.5	32.7	7.2	7	8.9	2.7
02.09.2005	Allensbach	41.7	29.6	8.1	8	9.7	2.9
27.08.2005	Allensbach	43.5	28.1	7.7	7.8	10.1	2.8
23.08.2005	Allensbach	41.8	27.9	8.1	8.7	10.3	3.2
16.08.2005	Allensbach	41.9	27.9	8	8.4	10.5	3.3
19.07.2005	Allensbach	45.2	26.4	8.2	8	9.2	3
15.06.2005	Allensbach	46.9	27.4	9.2	8.1	4.8	3.6
18.05.2005	Allensbach	44.1	28.6	9.8	8.2	5.4	3.9
20.04.2005	Allensbach	44	29.3	9.3	8.5	5.1	3.8
16.03.2005	Allensbach	41	31.5	9.4	8.8	5.1	4.2
16.02.2005	Allensbach	37.2	32.9	11.1	8.8	5.7	4.3
26.01.2005	Allensbach	38.9	30.6	11.1	8.6	6.1	4.7
15.12.2004	Allensbach	39.7	30.1	11.9	8.4	6	3.9
18.11.2004	Allensbach	38.9	30.9	10.9	8.8	5.8	4.7
20.10.2004	Allensbach	41.5	27	12.1	8.4	6.3	4.7
15.09.2004	Allensbach	44.6	23.7	11.4	8	7.5	4.8
17.08.2004	Allensbach	42.9	25.3	11.3	8.2	7.4	4.9
21.07.2004	Allensbach	44.2	24.2	12.2	8.5	6	4.9
16.06.2004	Allensbach	45.9	25	10.8	7.9	5.4	5
19.05.2004	Allensbach	46.7	24.5	11.9	7.9	5.1	3.9
21.04.2004	Allensbach	47.1	24.5	11.5	8.3	5.3	3.3
17.03.2004	Allensbach	47.2	23.8	11.9	8.1	4.8	4.2
18.02.2004	Allensbach	47.8	24.2	10.4	8.4	5.2	4
28.01.2004	Allensbach	46.9	25.3	10.6	7.9	5.2	4.1
17.12.2003	Allensbach	47.4	25.5	11.4	7.8	4.8	3.1
12.11.2003	Allensbach	46.9	26.1	11.1	7.4	4.8	3.7
15.10.2003	Allensbach	46.8	26.9	11.2	7.8	4.3	3
17.09.2003	Allensbach	43.7	30.8	9.7	7.9	4.6	3.3
20.08.2003	Allensbach	43.7	31	9.9	7.6	4.3	3.5
23.07.2003	Allensbach	42.9	30.6	10	7.8	4.4	4.3
18.06.2003	Allensbach	43.1	29.9	10.7	7.8	4	4.5
14.05.2003	Allensbach	43.9	29.4	11.3	8.9	4.2	2.3
16.04.2003	Allensbach	43.6	30.6	10.4	8.8	4.2	2.4
19.03.2003	Allensbach	46.3	27.4	10.9	8.8	4.2	2.4
19.02.2003	Allensbach	47	27.6	9.8	8.6	4.2	2.8
29.01.2003	Allensbach	45	31.4	8.3	8.3	4.4	2.6
18.12.2002	Allensbach	47.6	26.4	10.5	7.3	5	3.2
15.11.2002	Allensbach	44.1	32.3	9.4	6.8	4	3.4
22.09.2002	Allensbach	38.5	38.5	8.6	7.4	4	3
